,price,area,bedrooms,bathrooms,stories,mainroad
158,5495000,7980,3,1,1,1
159,5460000,3150,3,2,1,1
160,5460000,6210,4,1,4,1
161,5460000,6100,3,1,3,1
162,5460000,6600,4,2,2,1
163,5425000,6825,3,1,1,1
164,5390000,6710,3,2,2,1
165,5383000,6450,3,2,1,1
166,5320000,7800,3,1,1,1
167,5285000,4600,2,2,1,1
168,5250000,4260,4,1,2,1
169,5250000,6540,4,2,2,0
170,5250000,5500,3,2,1,1
171,5250000,10269,3,1,1,1
172,5250000,8400,3,1,2,1
173,5250000,5300,4,2,1,1
174,5250000,3800,3,1,2,1
175,5250000,9800,4,2,2,1
176,5250000,8520,3,1,1,1
177,5243000,6050,3,1,1,1
178,5229000,7085,3,1,1,1
179,5215000,3180,3,2,2,1
180,5215000,4500,4,2,1,0
181,5215000,7200,3,1,2,1
182,5145000,3410,3,1,2,0
183,5145000,7980,3,1,1,1
184,5110000,3000,3,2,2,1
185,5110000,3000,3,1,2,1
186,5110000,11410,2,1,2,1
187,5110000,6100,3,1,1,1
188,5075000,5720,2,1,2,1
189,5040000,3540,2,1,1,0
190,5040000,7600,4,1,2,1
191,5040000,10700,3,1,2,1
192,5040000,6600,3,1,1,1
193,5033000,4800,2,1,1,1
194,5005000,8150,3,2,1,1
195,4970000,4410,4,3,2,1
196,4970000,7686,3,1,1,1
197,4956000,2800,3,2,2,0
198,4935000,5948,3,1,2,1
199,4907000,4200,3,1,2,1
200,4900000,4520,3,1,2,1
201,4900000,4095,3,1,2,0
202,4900000,4120,2,1,1,1
203,4900000,5400,4,1,2,1
204,4900000,4770,3,1,1,1
205,4900000,6300,3,1,1,1
206,4900000,5800,2,1,1,1
207,4900000,3000,3,1,2,1
208,4900000,2970,3,1,3,1
209,4900000,6720,3,1,1,1
210,4900000,4646,3,1,2,1
211,4900000,12900,3,1,1,1
212,4893000,3420,4,2,2,1
213,4893000,4995,4,2,1,1
214,4865000,4350,2,1,1,1
215,4830000,4160,3,1,3,1
216,4830000,6040,3,1,1,1
217,4830000,6862,3,1,2,1
218,4830000,4815,2,1,1,1
219,4795000,7000,3,1,2,1
220,4795000,8100,4,1,4,1
221,4767000,3420,4,2,2,1
222,4760000,9166,2,1,1,1
223,4760000,6321,3,1,2,1
224,4760000,10240,2,1,1,1
225,4753000,6440,2,1,1,1
226,4690000,5170,3,1,4,1
227,4690000,6000,2,1,1,1
228,4690000,3630,3,1,2,1
229,4690000,9667,4,2,2,1
230,4690000,5400,2,1,2,1
231,4690000,4320,3,1,1,1
232,4655000,3745,3,1,2,1
233,4620000,4160,3,1,1,1
234,4620000,3880,3,2,2,1
235,4620000,5680,3,1,2,1
236,4620000,2870,2,1,2,1
237,4620000,5010,3,1,2,1
238,4613000,4510,4,2,2,1
239,4585000,4000,3,1,2,1
240,4585000,3840,3,1,2,1
241,4550000,3760,3,1,1,1
242,4550000,3640,3,1,2,1
243,4550000,2550,3,1,2,1
244,4550000,5320,3,1,2,1
245,4550000,5360,3,1,2,1
246,4550000,3520,3,1,1,1
247,4550000,8400,4,1,4,1
248,4543000,4100,2,2,1,1
249,4543000,4990,4,2,2,1
250,4515000,3510,3,1,3,1
251,4515000,3450,3,1,2,1
252,4515000,9860,3,1,1,1
253,4515000,3520,2,1,2,1
254,4480000,4510,4,1,2,1
255,4480000,5885,2,1,1,1
256,4480000,4000,3,1,2,1
257,4480000,8250,3,1,1,1
258,4480000,4040,3,1,2,1
259,4473000,6360,2,1,1,1
260,4473000,3162,3,1,2,1
261,4473000,3510,3,1,2,1
262,4445000,3750,2,1,1,1
263,4410000,3968,3,1,2,0
264,4410000,4900,2,1,2,1
265,4403000,2880,3,1,2,1
266,4403000,4880,3,1,1,1
267,4403000,4920,3,1,2,1
268,4382000,4950,4,1,2,1
269,4375000,3900,3,1,2,1
270,4340000,4500,3,2,3,1
271,4340000,1905,5,1,2,0
272,4340000,4075,3,1,1,1
273,4340000,3500,4,1,2,1
274,4340000,6450,4,1,2,1
275,4319000,4032,2,1,1,1
276,4305000,4400,2,1,1,1
277,4305000,10360,2,1,1,1
278,4277000,3400,3,1,2,1
279,4270000,6360,2,1,1,1
280,4270000,6360,2,1,2,1
281,4270000,4500,2,1,1,1
282,4270000,2175,3,1,2,0
283,4270000,4360,4,1,2,1
284,4270000,7770,2,1,1,1
285,4235000,6650,3,1,2,1
286,4235000,2787,3,1,1,1
287,4200000,5500,3,1,2,1
288,4200000,5040,3,1,2,1
289,4200000,5850,2,1,1,1
290,4200000,2610,4,3,2,0
291,4200000,2953,3,1,2,1
292,4200000,2747,4,2,2,0
293,4200000,4410,2,1,1,0
294,4200000,4000,4,2,2,0
295,4200000,2325,3,1,2,0
296,4200000,4600,3,2,2,1
297,4200000,3640,3,2,2,1
298,4200000,5800,3,1,1,1
299,4200000,7000,3,1,1,1
300,4200000,4079,3,1,3,1
301,4200000,3520,3,1,2,1
302,4200000,2145,3,1,3,1
303,4200000,4500,3,1,1,1
304,4193000,8250,3,1,1,1
305,4193000,3450,3,1,2,1
306,4165000,4840,3,1,2,1
307,4165000,4080,3,1,2,1
308,4165000,4046,3,1,2,1
309,4130000,4632,4,1,2,1
310,4130000,5985,3,1,1,1
311,4123000,6060,2,1,1,1
312,4098500,3600,3,1,1,1
313,4095000,3680,3,2,2,1
314,4095000,4040,2,1,2,1
315,4095000,5600,2,1,1,1
316,4060000,5900,4,2,2,0
317,4060000,4992,3,2,2,1
318,4060000,4340,3,1,1,1
319,4060000,3000,4,1,3,1
320,4060000,4320,3,1,2,1
321,4025000,3630,3,2,2,1
322,4025000,3460,3,2,1,1
323,4025000,5400,3,1,1,1
324,4007500,4500,3,1,2,0
325,4007500,3460,4,1,2,1
326,3990000,4100,4,1,1,0
327,3990000,6480,3,1,2,0
328,3990000,4500,3,2,2,0
329,3990000,3960,3,1,2,1
330,3990000,4050,2,1,2,1
331,3920000,7260,3,2,1,1
332,3920000,5500,4,1,2,1
333,3920000,3000,3,1,2,1
334,3920000,3290,2,1,1,1
335,3920000,3816,2,1,1,1
336,3920000,8080,3,1,1,1
337,3920000,2145,4,2,1,1
338,3885000,3780,2,1,2,1
339,3885000,3180,4,2,2,1
340,3850000,5300,5,2,2,1
341,3850000,3180,2,2,1,1
342,3850000,7152,3,1,2,1
343,3850000,4080,2,1,1,1
344,3850000,3850,2,1,1,1
345,3850000,2015,3,1,2,1
346,3850000,2176,2,1,2,1
347,3836000,3350,3,1,2,1
348,3815000,3150,2,2,1,0
349,3780000,4820,3,1,2,1
350,3780000,3420,2,1,2,1
351,3780000,3600,2,1,1,1
352,3780000,5830,2,1,1,1
353,3780000,2856,3,1,3,1
354,3780000,8400,2,1,1,1
355,3773000,8250,3,1,1,1
356,3773000,2520,5,2,1,0
357,3773000,6930,4,1,2,0
358,3745000,3480,2,1,1,1
359,3710000,3600,3,1,1,1
360,3710000,4040,2,1,1,1
361,3710000,6020,3,1,1,1
362,3710000,4050,2,1,1,1
363,3710000,3584,2,1,1,1
364,3703000,3120,3,1,2,0
365,3703000,5450,2,1,1,1
366,3675000,3630,2,1,1,1
367,3675000,3630,2,1,1,1
368,3675000,5640,2,1,1,0
369,3675000,3600,2,1,1,1
370,3640000,4280,2,1,1,1
371,3640000,3570,3,1,2,1
372,3640000,3180,3,1,2,0
373,3640000,3000,2,1,2,1
374,3640000,3520,2,2,1,1
375,3640000,5960,3,1,2,1
376,3640000,4130,3,2,2,1
377,3640000,2850,3,2,2,0
378,3640000,2275,3,1,3,1
379,3633000,3520,3,1,1,1
380,3605000,4500,2,1,1,1
381,3605000,4000,2,1,1,1
382,3570000,3150,3,1,2,1
383,3570000,4500,4,2,2,1
384,3570000,4500,2,1,1,0
385,3570000,3640,2,1,1,1
386,3535000,3850,3,1,1,1
387,3500000,4240,3,1,2,1
388,3500000,3650,3,1,2,1
389,3500000,4600,4,1,2,1
390,3500000,2135,3,2,2,0
391,3500000,3036,3,1,2,1
392,3500000,3990,3,1,2,1
393,3500000,7424,3,1,1,0
394,3500000,3480,3,1,1,0
395,3500000,3600,6,1,2,1
396,3500000,3640,2,1,1,1
397,3500000,5900,2,1,1,1
398,3500000,3120,3,1,2,1
399,3500000,7350,2,1,1,1
400,3500000,3512,2,1,1,1
401,3500000,9500,3,1,2,1
402,3500000,5880,2,1,1,1
403,3500000,12944,3,1,1,1
404,3493000,4900,3,1,2,0
405,3465000,3060,3,1,1,1
406,3465000,5320,2,1,1,1
407,3465000,2145,3,1,3,1
408,3430000,4000,2,1,1,1
409,3430000,3185,2,1,1,1
410,3430000,3850,3,1,1,1
411,3430000,2145,3,1,3,1
412,3430000,2610,3,1,2,1
413,3430000,1950,3,2,2,1
414,3423000,4040,2,1,1,1
415,3395000,4785,3,1,2,1
416,3395000,3450,3,1,1,1
417,3395000,3640,2,1,1,1
418,3360000,3500,4,1,2,1
419,3360000,4960,4,1,3,0
420,3360000,4120,2,1,2,1
421,3360000,4750,2,1,1,1
422,3360000,3720,2,1,1,0
423,3360000,3750,3,1,1,1
424,3360000,3100,3,1,2,0
425,3360000,3185,2,1,1,1
426,3353000,2700,3,1,1,0
427,3332000,2145,3,1,2,1
428,3325000,4040,2,1,1,1
429,3325000,4775,4,1,2,1
430,3290000,2500,2,1,1,0
431,3290000,3180,4,1,2,1
432,3290000,6060,3,1,1,1
433,3290000,3480,4,1,2,0
434,3290000,3792,4,1,2,1
435,3290000,4040,2,1,1,1
436,3290000,2145,3,1,2,1
437,3290000,5880,3,1,1,1
438,3255000,4500,2,1,1,0
439,3255000,3930,2,1,1,0
440,3234000,3640,4,1,2,1
441,3220000,4370,3,1,2,1
442,3220000,2684,2,1,1,1
443,3220000,4320,3,1,1,0
444,3220000,3120,3,1,2,0
445,3150000,3450,1,1,1,1
446,3150000,3986,2,2,1,0
447,3150000,3500,2,1,1,0
448,3150000,4095,2,1,1,1
449,3150000,1650,3,1,2,0
450,3150000,3450,3,1,2,1
451,3150000,6750,2,1,1,1
452,3150000,9000,3,1,2,1
453,3150000,3069,2,1,1,1
454,3143000,4500,3,1,2,1
455,3129000,5495,3,1,1,1
456,3118850,2398,3,1,1,1
457,3115000,3000,3,1,1,0
458,3115000,3850,3,1,2,1
459,3115000,3500,2,1,1,1
460,3087000,8100,2,1,1,1
461,3080000,4960,2,1,1,1
462,3080000,2160,3,1,2,0
463,3080000,3090,2,1,1,1
464,3080000,4500,2,1,2,1
465,3045000,3800,2,1,1,1
466,3010000,3090,3,1,2,0
467,3010000,3240,3,1,2,1
468,3010000,2835,2,1,1,1
469,3010000,4600,2,1,1,1
470,3010000,5076,3,1,1,0
471,3010000,3750,3,1,2,1
472,3010000,3630,4,1,2,1
473,3003000,8050,2,1,1,1
474,2975000,4352,4,1,2,0
475,2961000,3000,2,1,2,1
476,2940000,5850,3,1,2,1
477,2940000,4960,2,1,1,1
478,2940000,3600,3,1,2,0
479,2940000,3660,4,1,2,0
480,2940000,3480,3,1,2,0
481,2940000,2700,2,1,1,0
482,2940000,3150,3,1,2,0
483,2940000,6615,3,1,2,1
484,2870000,3040,2,1,1,0
485,2870000,3630,2,1,1,1
486,2870000,6000,2,1,1,1
487,2870000,5400,4,1,2,1
488,2852500,5200,4,1,3,1
489,2835000,3300,3,1,2,0
490,2835000,4350,3,1,2,0
491,2835000,2640,2,1,1,0
492,2800000,2650,3,1,2,1
493,2800000,3960,3,1,1,1
494,2730000,6800,2,1,1,1
495,2730000,4000,3,1,2,1
496,2695000,4000,2,1,1,1
497,2660000,3934,2,1,1,1
498,2660000,2000,2,1,2,1
499,2660000,3630,3,3,2,0
500,2660000,2800,3,1,1,1
501,2660000,2430,3,1,1,0
502,2660000,3480,2,1,1,1
503,2660000,4000,3,1,1,1
504,2653000,3185,2,1,1,1
505,2653000,4000,3,1,2,1
506,2604000,2910,2,1,1,0
507,2590000,3600,2,1,1,1
508,2590000,4400,2,1,1,1
509,2590000,3600,2,2,2,1
510,2520000,2880,3,1,1,0
511,2520000,3180,3,1,1,0
512,2520000,3000,2,1,2,1
513,2485000,4400,3,1,2,1
514,2485000,3000,3,1,2,0
515,2450000,3210,3,1,2,1
516,2450000,3240,2,1,1,0
517,2450000,3000,2,1,1,1
518,2450000,3500,2,1,1,1
519,2450000,4840,2,1,2,1
520,2450000,7700,2,1,1,1
521,2408000,3635,2,1,1,0
522,2380000,2475,3,1,2,1
523,2380000,2787,4,2,2,1
524,2380000,3264,2,1,1,1
525,2345000,3640,2,1,1,1
526,2310000,3180,2,1,1,1
527,2275000,1836,2,1,1,0
528,2275000,3970,1,1,1,0
529,2275000,3970,3,1,2,1
530,2240000,1950,3,1,1,0
531,2233000,5300,3,1,1,0
532,2135000,3000,2,1,1,0
533,2100000,2400,3,1,2,1
534,2100000,3000,4,1,2,1
535,2100000,3360,2,1,1,1
536,1960000,3420,5,1,2,0
537,1890000,1700,3,1,2,1
538,1890000,3649,2,1,1,1
539,1855000,2990,2,1,1,0
540,1820000,3000,2,1,1,1
541,1767150,2400,3,1,1,0
542,1750000,3620,2,1,1,1
543,1750000,2910,3,1,1,0
544,1750000,3850,3,1,2,1
